Name,Created,GitHub,Tags
Used Car Price Prediction,"July 21, 2024 5:09 PM",https://github.com/mihir880/Used-Car-Price-Prediction,"Data Modelling, Data Visualization, Machine Learning, Python"
Loan Repayment Prediction,"July 21, 2024 5:09 PM",https://github.com/mihir880/Loan-Repayment-Prediction,"Data Modelling, Data Visualization, Machine Learning, Pandas, Python"
Credit Card Data Analysis,"July 21, 2024 5:09 PM",,"Data Modelling, Data Visualization, Machine Learning, NumPy, Pandas, Python"
